WeekStartDate,Category,CustomerPerCategory,Quantity
2011-01-10,-1,694401564.0,16931
2011-01-10,0,1048645162.0,38008
2011-01-10,1,120939222.0,8062
2011-01-10,2,6718824.0,96
2011-01-10,3,49230717.0,2473
2011-01-10,4,97807128.0,1860
2011-01-10,5,35901082.0,519
2011-01-10,6,51728188.0,864
2011-01-10,7,20553524.0,149
2011-01-10,8,28553737.0,583
2011-01-10,9,69463563.0,3185
2011-01-10,10,43890324.0,917
2011-01-10,11,24738386.0,468
2011-01-10,12,17869083.0,197
2011-01-10,13,37365637.0,2047
2011-01-17,-1,694401564.0,20858
2011-01-17,0,1048645162.0,32789
2011-01-17,1,120939222.0,4927
2011-01-17,2,6718824.0,96
2011-01-17,3,49230717.0,1815
2011-01-17,4,97807128.0,2324
2011-01-17,5,35901082.0,562
2011-01-17,6,51728188.0,954
2011-01-17,7,20553524.0,212
2011-01-17,8,28553737.0,543
2011-01-17,9,69463563.0,1923
2011-01-17,10,43890324.0,1764
2011-01-17,11,24738386.0,765
2011-01-17,12,17869083.0,155
2011-01-17,13,37365637.0,75005
2011-01-24,-1,694401564.0,17805
2011-01-24,0,1048645162.0,26684
2011-01-24,1,120939222.0,4725
2011-01-24,2,6718824.0,100
2011-01-24,3,49230717.0,3064
2011-01-24,4,97807128.0,2169
2011-01-24,5,35901082.0,705
2011-01-24,6,51728188.0,1747
2011-01-24,7,20553524.0,136
2011-01-24,8,28553737.0,516
2011-01-24,9,69463563.0,1176
2011-01-24,10,43890324.0,2126
2011-01-24,11,24738386.0,1219
2011-01-24,12,17869083.0,75
2011-01-24,13,37365637.0,896
2011-01-31,-1,694401564.0,14432
2011-01-31,0,1048645162.0,35348
2011-01-31,1,120939222.0,4057
2011-01-31,2,6718824.0,78
2011-01-31,3,49230717.0,3208
2011-01-31,4,97807128.0,1955
2011-01-31,5,35901082.0,751
2011-01-31,6,51728188.0,1104
2011-01-31,7,20553524.0,139
2011-01-31,8,28553737.0,1580
2011-01-31,9,69463563.0,1762
2011-01-31,10,43890324.0,1068
2011-01-31,11,24738386.0,2479
2011-01-31,12,17869083.0,380
2011-01-31,13,37365637.0,1025
2011-02-07,-1,694401564.0,15048
2011-02-07,0,1048645162.0,19726
2011-02-07,1,120939222.0,3793
2011-02-07,2,6718824.0,71
2011-02-07,3,49230717.0,5860
2011-02-07,4,97807128.0,1333
2011-02-07,5,35901082.0,299
2011-02-07,6,51728188.0,838
2011-02-07,7,20553524.0,238
2011-02-07,8,28553737.0,361
2011-02-07,9,69463563.0,1325
2011-02-07,10,43890324.0,937
2011-02-07,11,24738386.0,1066
2011-02-07,12,17869083.0,101
2011-02-07,13,37365637.0,560
2011-02-14,-1,694401564.0,23329
2011-02-14,0,1048645162.0,35192
2011-02-14,1,120939222.0,6761
2011-02-14,2,6718824.0,106
2011-02-14,3,49230717.0,3045
2011-02-14,4,97807128.0,2665
2011-02-14,5,35901082.0,436
2011-02-14,6,51728188.0,789
2011-02-14,7,20553524.0,404
2011-02-14,8,28553737.0,605
2011-02-14,9,69463563.0,2600
2011-02-14,10,43890324.0,1476
2011-02-14,11,24738386.0,2235
2011-02-14,12,17869083.0,33
2011-02-14,13,37365637.0,1674
2011-02-21,-1,694401564.0,25716
2011-02-21,0,1048645162.0,35690
2011-02-21,1,120939222.0,8350
2011-02-21,2,6718824.0,181
2011-02-21,3,49230717.0,2466
2011-02-21,4,97807128.0,2304
2011-02-21,5,35901082.0,412
2011-02-21,6,51728188.0,991
2011-02-21,7,20553524.0,217
2011-02-21,8,28553737.0,638
2011-02-21,9,69463563.0,1858
2011-02-21,10,43890324.0,2847
2011-02-21,11,24738386.0,1963
2011-02-21,12,17869083.0,91
2011-02-21,13,37365637.0,791
2011-02-28,-1,694401564.0,20563
2011-02-28,0,1048645162.0,29204
2011-02-28,1,120939222.0,4946
2011-02-28,2,6718824.0,97
2011-02-28,3,49230717.0,2936
2011-02-28,4,97807128.0,3467
2011-02-28,5,35901082.0,992
2011-02-28,6,51728188.0,837
2011-02-28,7,20553524.0,238
2011-02-28,8,28553737.0,335
2011-02-28,9,69463563.0,1927
2011-02-28,10,43890324.0,1389
2011-02-28,11,24738386.0,1252
2011-02-28,12,17869083.0,133
2011-02-28,13,37365637.0,1112
2011-03-07,-1,694401564.0,16265
2011-03-07,0,1048645162.0,32573
2011-03-07,1,120939222.0,5183
2011-03-07,2,6718824.0,458
2011-03-07,3,49230717.0,6508
2011-03-07,4,97807128.0,1631
2011-03-07,5,35901082.0,793
2011-03-07,6,51728188.0,1674
2011-03-07,7,20553524.0,375
2011-03-07,8,28553737.0,452
2011-03-07,9,69463563.0,2528
2011-03-07,10,43890324.0,1988
2011-03-07,11,24738386.0,1050
2011-03-07,12,17869083.0,71
2011-03-07,13,37365637.0,1060
2011-03-14,-1,694401564.0,21930
2011-03-14,0,1048645162.0,40885
2011-03-14,1,120939222.0,5282
2011-03-14,2,6718824.0,67
2011-03-14,3,49230717.0,5374
2011-03-14,4,97807128.0,2268
2011-03-14,5,35901082.0,843
2011-03-14,6,51728188.0,1541
2011-03-14,7,20553524.0,231
2011-03-14,8,28553737.0,908
2011-03-14,9,69463563.0,2781
2011-03-14,10,43890324.0,3127
2011-03-14,11,24738386.0,1008
2011-03-14,12,17869083.0,160
2011-03-14,13,37365637.0,1416
2011-03-21,-1,694401564.0,17967
2011-03-21,0,1048645162.0,36511
2011-03-21,1,120939222.0,6311
2011-03-21,2,6718824.0,77
2011-03-21,3,49230717.0,2472
2011-03-21,4,97807128.0,2572
2011-03-21,5,35901082.0,1867
2011-03-21,6,51728188.0,734
2011-03-21,7,20553524.0,306
2011-03-21,8,28553737.0,765
2011-03-21,9,69463563.0,2760
2011-03-21,10,43890324.0,3484
2011-03-21,11,24738386.0,1417
2011-03-21,12,17869083.0,93
2011-03-21,13,37365637.0,808
2011-03-28,-1,694401564.0,28394
2011-03-28,0,1048645162.0,51517
2011-03-28,1,120939222.0,6101
2011-03-28,2,6718824.0,511
2011-03-28,3,49230717.0,3267
2011-03-28,4,97807128.0,4422
2011-03-28,5,35901082.0,2306
2011-03-28,6,51728188.0,1427
2011-03-28,7,20553524.0,223
2011-03-28,8,28553737.0,1080
2011-03-28,9,69463563.0,2802
2011-03-28,10,43890324.0,1876
2011-03-28,11,24738386.0,1324
2011-03-28,12,17869083.0,311
2011-03-28,13,37365637.0,1200
2011-04-04,-1,694401564.0,21424
2011-04-04,0,1048645162.0,28182
2011-04-04,1,120939222.0,5501
2011-04-04,2,6718824.0,88
2011-04-04,3,49230717.0,2858
2011-04-04,4,97807128.0,1505
2011-04-04,5,35901082.0,855
2011-04-04,6,51728188.0,1029
2011-04-04,7,20553524.0,175
2011-04-04,8,28553737.0,420
2011-04-04,9,69463563.0,2383
2011-04-04,10,43890324.0,1602
2011-04-04,11,24738386.0,1240
2011-04-04,12,17869083.0,58
2011-04-04,13,37365637.0,1009
2011-04-11,-1,694401564.0,24411
2011-04-11,0,1048645162.0,37681
2011-04-11,1,120939222.0,5746
2011-04-11,2,6718824.0,318
2011-04-11,3,49230717.0,2612
2011-04-11,4,97807128.0,2438
2011-04-11,5,35901082.0,1096
2011-04-11,6,51728188.0,1120
2011-04-11,7,20553524.0,200
2011-04-11,8,28553737.0,676
2011-04-11,9,69463563.0,4259
2011-04-11,10,43890324.0,2186
2011-04-11,11,24738386.0,3425
2011-04-11,12,17869083.0,367
2011-04-11,13,37365637.0,943
2011-04-18,-1,694401564.0,17470
2011-04-18,0,1048645162.0,39032
2011-04-18,1,120939222.0,7799
2011-04-18,2,6718824.0,307
2011-04-18,3,49230717.0,3342
2011-04-18,4,97807128.0,2934
2011-04-18,5,35901082.0,557
2011-04-18,6,51728188.0,1513
2011-04-18,7,20553524.0,201
2011-04-18,8,28553737.0,440
2011-04-18,9,69463563.0,3730
2011-04-18,10,43890324.0,3114
2011-04-18,11,24738386.0,633
2011-04-18,12,17869083.0,399
2011-04-18,13,37365637.0,774
2011-04-25,-1,694401564.0,14102
2011-04-25,0,1048645162.0,22980
2011-04-25,1,120939222.0,5190
2011-04-25,2,6718824.0,300
2011-04-25,3,49230717.0,1739
2011-04-25,4,97807128.0,1038
2011-04-25,5,35901082.0,820
2011-04-25,6,51728188.0,483
2011-04-25,7,20553524.0,155
2011-04-25,8,28553737.0,281
2011-04-25,9,69463563.0,1543
2011-04-25,10,43890324.0,1869
2011-04-25,11,24738386.0,631
2011-04-25,12,17869083.0,18
2011-04-25,13,37365637.0,441
2011-05-02,-1,694401564.0,19053
2011-05-02,0,1048645162.0,37739
2011-05-02,1,120939222.0,7602
2011-05-02,2,6718824.0,345
2011-05-02,3,49230717.0,2500
2011-05-02,4,97807128.0,1615
2011-05-02,5,35901082.0,1310
2011-05-02,6,51728188.0,872
2011-05-02,7,20553524.0,446
2011-05-02,8,28553737.0,790
2011-05-02,9,69463563.0,2850
2011-05-02,10,43890324.0,1410
2011-05-02,11,24738386.0,1179
2011-05-02,12,17869083.0,111
2011-05-02,13,37365637.0,491
2011-05-09,-1,694401564.0,25744
2011-05-09,0,1048645162.0,51491
2011-05-09,1,120939222.0,9361
2011-05-09,2,6718824.0,954
2011-05-09,3,49230717.0,2424
2011-05-09,4,97807128.0,3729
2011-05-09,5,35901082.0,2118
2011-05-09,6,51728188.0,1802
2011-05-09,7,20553524.0,646
2011-05-09,8,28553737.0,772
2011-05-09,9,69463563.0,2699
2011-05-09,10,43890324.0,2630
2011-05-09,11,24738386.0,2361
2011-05-09,12,17869083.0,138
2011-05-09,13,37365637.0,3092
2011-05-16,-1,694401564.0,28651
2011-05-16,0,1048645162.0,46283
2011-05-16,1,120939222.0,10269
2011-05-16,2,6718824.0,359
2011-05-16,3,49230717.0,4239
2011-05-16,4,97807128.0,2784
2011-05-16,5,35901082.0,1498
2011-05-16,6,51728188.0,1396
2011-05-16,7,20553524.0,955
2011-05-16,8,28553737.0,775
2011-05-16,9,69463563.0,2788
2011-05-16,10,43890324.0,3085
2011-05-16,11,24738386.0,2267
2011-05-16,12,17869083.0,136
2011-05-16,13,37365637.0,3017
2011-05-23,-1,694401564.0,16470
2011-05-23,0,1048645162.0,43463
2011-05-23,1,120939222.0,11613
2011-05-23,2,6718824.0,152
2011-05-23,3,49230717.0,2515
2011-05-23,4,97807128.0,2503
2011-05-23,5,35901082.0,1306
2011-05-23,6,51728188.0,767
2011-05-23,7,20553524.0,479
2011-05-23,8,28553737.0,413
2011-05-23,9,69463563.0,1850
2011-05-23,10,43890324.0,1119
2011-05-23,11,24738386.0,1084
2011-05-23,12,17869083.0,109
2011-05-23,13,37365637.0,1320
2011-05-30,-1,694401564.0,14849
2011-05-30,0,1048645162.0,28059
2011-05-30,1,120939222.0,5343
2011-05-30,2,6718824.0,127
2011-05-30,3,49230717.0,1353
2011-05-30,4,97807128.0,1779
2011-05-30,5,35901082.0,747
2011-05-30,6,51728188.0,758
2011-05-30,7,20553524.0,606
2011-05-30,8,28553737.0,1018
2011-05-30,9,69463563.0,1081
2011-05-30,10,43890324.0,1512
2011-05-30,11,24738386.0,612
2011-05-30,12,17869083.0,24
2011-05-30,13,37365637.0,595
2011-06-06,-1,694401564.0,29008
2011-06-06,0,1048645162.0,45260
2011-06-06,1,120939222.0,6825
2011-06-06,2,6718824.0,82
2011-06-06,3,49230717.0,5004
2011-06-06,4,97807128.0,1348
2011-06-06,5,35901082.0,1486
2011-06-06,6,51728188.0,1018
2011-06-06,7,20553524.0,668
2011-06-06,8,28553737.0,634
2011-06-06,9,69463563.0,2279
2011-06-06,10,43890324.0,4879
2011-06-06,11,24738386.0,1589
2011-06-06,12,17869083.0,174
2011-06-06,13,37365637.0,1610
2011-06-13,-1,694401564.0,25262
2011-06-13,0,1048645162.0,45874
2011-06-13,1,120939222.0,6800
2011-06-13,2,6718824.0,146
2011-06-13,3,49230717.0,3062
2011-06-13,4,97807128.0,3907
2011-06-13,5,35901082.0,1137
2011-06-13,6,51728188.0,5758
2011-06-13,7,20553524.0,690
2011-06-13,8,28553737.0,1607
2011-06-13,9,69463563.0,2424
2011-06-13,10,43890324.0,3145
2011-06-13,11,24738386.0,2157
2011-06-13,12,17869083.0,362
2011-06-13,13,37365637.0,1356
2011-06-20,-1,694401564.0,19667
2011-06-20,0,1048645162.0,34654
2011-06-20,1,120939222.0,5363
2011-06-20,2,6718824.0,482
2011-06-20,3,49230717.0,1541
2011-06-20,4,97807128.0,1556
2011-06-20,5,35901082.0,900
2011-06-20,6,51728188.0,1749
2011-06-20,7,20553524.0,594
2011-06-20,8,28553737.0,554
2011-06-20,9,69463563.0,1294
2011-06-20,10,43890324.0,4021
2011-06-20,11,24738386.0,1588
2011-06-20,12,17869083.0,67
2011-06-20,13,37365637.0,1026
2011-06-27,-1,694401564.0,16836
2011-06-27,0,1048645162.0,40764
2011-06-27,1,120939222.0,4945
2011-06-27,2,6718824.0,631
2011-06-27,3,49230717.0,1982
2011-06-27,4,97807128.0,1916
2011-06-27,5,35901082.0,1346
2011-06-27,6,51728188.0,1789
2011-06-27,7,20553524.0,368
2011-06-27,8,28553737.0,816
2011-06-27,9,69463563.0,1858
2011-06-27,10,43890324.0,1453
2011-06-27,11,24738386.0,873
2011-06-27,12,17869083.0,122
2011-06-27,13,37365637.0,936
2011-07-04,-1,694401564.0,22669
2011-07-04,0,1048645162.0,47680
2011-07-04,1,120939222.0,5896
2011-07-04,2,6718824.0,110
2011-07-04,3,49230717.0,2235
2011-07-04,4,97807128.0,1685
2011-07-04,5,35901082.0,2254
2011-07-04,6,51728188.0,2132
2011-07-04,7,20553524.0,571
2011-07-04,8,28553737.0,622
2011-07-04,9,69463563.0,1520
2011-07-04,10,43890324.0,2819
2011-07-04,11,24738386.0,1864
2011-07-04,12,17869083.0,234
2011-07-04,13,37365637.0,1378
2011-07-11,-1,694401564.0,21690
2011-07-11,0,1048645162.0,34014
2011-07-11,1,120939222.0,5342
2011-07-11,2,6718824.0,64
2011-07-11,3,49230717.0,4775
2011-07-11,4,97807128.0,1606
2011-07-11,5,35901082.0,2335
2011-07-11,6,51728188.0,2537
2011-07-11,7,20553524.0,433
2011-07-11,8,28553737.0,727
2011-07-11,9,69463563.0,3646
2011-07-11,10,43890324.0,2181
2011-07-11,11,24738386.0,3337
2011-07-11,12,17869083.0,337
2011-07-11,13,37365637.0,1364
2011-07-18,-1,694401564.0,28178
2011-07-18,0,1048645162.0,50981
2011-07-18,1,120939222.0,7058
2011-07-18,2,6718824.0,200
2011-07-18,3,49230717.0,3852
2011-07-18,4,97807128.0,2251
2011-07-18,5,35901082.0,1407
2011-07-18,6,51728188.0,2294
2011-07-18,7,20553524.0,797
2011-07-18,8,28553737.0,1350
2011-07-18,9,69463563.0,2796
2011-07-18,10,43890324.0,4166
2011-07-18,11,24738386.0,2804
2011-07-18,12,17869083.0,237
2011-07-18,13,37365637.0,1767
2011-07-25,-1,694401564.0,27826
2011-07-25,0,1048645162.0,52145
2011-07-25,1,120939222.0,5899
2011-07-25,2,6718824.0,28
2011-07-25,3,49230717.0,2638
2011-07-25,4,97807128.0,2110
2011-07-25,5,35901082.0,2028
2011-07-25,6,51728188.0,2542
2011-07-25,7,20553524.0,475
2011-07-25,8,28553737.0,970
2011-07-25,9,69463563.0,1648
2011-07-25,10,43890324.0,3921
2011-07-25,11,24738386.0,2125
2011-07-25,12,17869083.0,225
2011-07-25,13,37365637.0,2005
2011-08-01,-1,694401564.0,23251
2011-08-01,0,1048645162.0,49653
2011-08-01,1,120939222.0,8032
2011-08-01,2,6718824.0,1083
2011-08-01,3,49230717.0,3942
2011-08-01,4,97807128.0,2442
2011-08-01,5,35901082.0,1587
2011-08-01,6,51728188.0,2215
2011-08-01,7,20553524.0,412
2011-08-01,8,28553737.0,573
2011-08-01,9,69463563.0,1790
2011-08-01,10,43890324.0,3568
2011-08-01,11,24738386.0,2459
2011-08-01,12,17869083.0,333
2011-08-01,13,37365637.0,1697
2011-08-08,-1,694401564.0,19220
2011-08-08,0,1048645162.0,50191
2011-08-08,1,120939222.0,8568
2011-08-08,2,6718824.0,45
2011-08-08,3,49230717.0,1579
2011-08-08,4,97807128.0,5039
2011-08-08,5,35901082.0,2851
2011-08-08,6,51728188.0,2114
2011-08-08,7,20553524.0,263
2011-08-08,8,28553737.0,650
2011-08-08,9,69463563.0,2351
2011-08-08,10,43890324.0,2455
2011-08-08,11,24738386.0,1806
2011-08-08,12,17869083.0,141
2011-08-08,13,37365637.0,1740
2011-08-15,-1,694401564.0,20799
2011-08-15,0,1048645162.0,49113
2011-08-15,1,120939222.0,6792
2011-08-15,2,6718824.0,228
2011-08-15,3,49230717.0,1808
2011-08-15,4,97807128.0,4112
2011-08-15,5,35901082.0,1200
2011-08-15,6,51728188.0,5119
2011-08-15,7,20553524.0,544
2011-08-15,8,28553737.0,863
2011-08-15,9,69463563.0,2851
2011-08-15,10,43890324.0,2661
2011-08-15,11,24738386.0,2165
2011-08-15,12,17869083.0,243
2011-08-15,13,37365637.0,1442
2011-08-22,-1,694401564.0,23131
2011-08-22,0,1048645162.0,47833
2011-08-22,1,120939222.0,7344
2011-08-22,2,6718824.0,140
2011-08-22,3,49230717.0,2901
2011-08-22,4,97807128.0,3362
2011-08-22,5,35901082.0,2045
2011-08-22,6,51728188.0,1576
2011-08-22,7,20553524.0,449
2011-08-22,8,28553737.0,1358
2011-08-22,9,69463563.0,2054
2011-08-22,10,43890324.0,2052
2011-08-22,11,24738386.0,2344
2011-08-22,12,17869083.0,225
2011-08-22,13,37365637.0,1301
2011-08-29,-1,694401564.0,20718
2011-08-29,0,1048645162.0,34340
2011-08-29,1,120939222.0,8419
2011-08-29,2,6718824.0,82
2011-08-29,3,49230717.0,2454
2011-08-29,4,97807128.0,2052
2011-08-29,5,35901082.0,911
2011-08-29,6,51728188.0,2743
2011-08-29,7,20553524.0,494
2011-08-29,8,28553737.0,964
2011-08-29,9,69463563.0,1403
2011-08-29,10,43890324.0,1743
2011-08-29,11,24738386.0,2464
2011-08-29,12,17869083.0,212
2011-08-29,13,37365637.0,892
2011-09-05,-1,694401564.0,26155
2011-09-05,0,1048645162.0,49402
2011-09-05,1,120939222.0,7290
2011-09-05,2,6718824.0,84
2011-09-05,3,49230717.0,4887
2011-09-05,4,97807128.0,1973
2011-09-05,5,35901082.0,1793
2011-09-05,6,51728188.0,2743
2011-09-05,7,20553524.0,664
2011-09-05,8,28553737.0,936
2011-09-05,9,69463563.0,6230
2011-09-05,10,43890324.0,4447
2011-09-05,11,24738386.0,2172
2011-09-05,12,17869083.0,94
2011-09-05,13,37365637.0,1435
2011-09-12,-1,694401564.0,34279
2011-09-12,0,1048645162.0,52037
2011-09-12,1,120939222.0,7903
2011-09-12,2,6718824.0,80
2011-09-12,3,49230717.0,7218
2011-09-12,4,97807128.0,2675
2011-09-12,5,35901082.0,1236
2011-09-12,6,51728188.0,3176
2011-09-12,7,20553524.0,849
2011-09-12,8,28553737.0,1196
2011-09-12,9,69463563.0,3104
2011-09-12,10,43890324.0,3388
2011-09-12,11,24738386.0,2837
2011-09-12,12,17869083.0,498
2011-09-12,13,37365637.0,1446
2011-09-19,-1,694401564.0,43074
2011-09-19,0,1048645162.0,75864
2011-09-19,1,120939222.0,10969
2011-09-19,2,6718824.0,202
2011-09-19,3,49230717.0,3712
2011-09-19,4,97807128.0,6127
2011-09-19,5,35901082.0,1821
2011-09-19,6,51728188.0,8593
2011-09-19,7,20553524.0,917
2011-09-19,8,28553737.0,2275
2011-09-19,9,69463563.0,5643
2011-09-19,10,43890324.0,3540
2011-09-19,11,24738386.0,4493
2011-09-19,12,17869083.0,433
2011-09-19,13,37365637.0,2074
2011-09-26,-1,694401564.0,29262
2011-09-26,0,1048645162.0,54380
2011-09-26,1,120939222.0,8698
2011-09-26,2,6718824.0,315
2011-09-26,3,49230717.0,4639
2011-09-26,4,97807128.0,3879
2011-09-26,5,35901082.0,1200
2011-09-26,6,51728188.0,2429
2011-09-26,7,20553524.0,835
2011-09-26,8,28553737.0,1045
2011-09-26,9,69463563.0,2801
2011-09-26,10,43890324.0,4822
2011-09-26,11,24738386.0,5060
2011-09-26,12,17869083.0,191
2011-09-26,13,37365637.0,1417
2011-10-03,-1,694401564.0,38497
2011-10-03,0,1048645162.0,75998
2011-10-03,1,120939222.0,10180
2011-10-03,2,6718824.0,73
2011-10-03,3,49230717.0,6484
2011-10-03,4,97807128.0,10322
2011-10-03,5,35901082.0,1865
2011-10-03,6,51728188.0,4023
2011-10-03,7,20553524.0,949
2011-10-03,8,28553737.0,945
2011-10-03,9,69463563.0,3596
2011-10-03,10,43890324.0,6140
2011-10-03,11,24738386.0,6670
2011-10-03,12,17869083.0,5271
2011-10-03,13,37365637.0,1493
2011-10-10,-1,694401564.0,29290
2011-10-10,0,1048645162.0,50337
2011-10-10,1,120939222.0,9954
2011-10-10,2,6718824.0,168
2011-10-10,3,49230717.0,5591
2011-10-10,4,97807128.0,5030
2011-10-10,5,35901082.0,1557
2011-10-10,6,51728188.0,2260
2011-10-10,7,20553524.0,828
2011-10-10,8,28553737.0,988
2011-10-10,9,69463563.0,2002
2011-10-10,10,43890324.0,4310
2011-10-10,11,24738386.0,3198
2011-10-10,12,17869083.0,784
2011-10-10,13,37365637.0,1726
2011-10-17,-1,694401564.0,35948
2011-10-17,0,1048645162.0,69114
2011-10-17,1,120939222.0,10534
2011-10-17,2,6718824.0,651
2011-10-17,3,49230717.0,4420
2011-10-17,4,97807128.0,8155
2011-10-17,5,35901082.0,2066
2011-10-17,6,51728188.0,3388
2011-10-17,7,20553524.0,695
2011-10-17,8,28553737.0,1217
2011-10-17,9,69463563.0,2193
2011-10-17,10,43890324.0,5705
2011-10-17,11,24738386.0,4218
2011-10-17,12,17869083.0,3044
2011-10-17,13,37365637.0,1422
2011-10-24,-1,694401564.0,33607
2011-10-24,0,1048645162.0,62249
2011-10-24,1,120939222.0,21798
2011-10-24,2,6718824.0,142
2011-10-24,3,49230717.0,6549
2011-10-24,4,97807128.0,3886
2011-10-24,5,35901082.0,5029
2011-10-24,6,51728188.0,2784
2011-10-24,7,20553524.0,529
2011-10-24,8,28553737.0,1133
2011-10-24,9,69463563.0,3455
2011-10-24,10,43890324.0,4031
2011-10-24,11,24738386.0,4139
2011-10-24,12,17869083.0,1009
2011-10-24,13,37365637.0,1456
2011-10-31,-1,694401564.0,37323
2011-10-31,0,1048645162.0,73458
2011-10-31,1,120939222.0,15707
2011-10-31,2,6718824.0,126
2011-10-31,3,49230717.0,5722
2011-10-31,4,97807128.0,3321
2011-10-31,5,35901082.0,1903
2011-10-31,6,51728188.0,4177
2011-10-31,7,20553524.0,872
2011-10-31,8,28553737.0,2070
2011-10-31,9,69463563.0,2855
2011-10-31,10,43890324.0,4392
2011-10-31,11,24738386.0,4367
2011-10-31,12,17869083.0,1915
2011-10-31,13,37365637.0,1615
2011-11-07,-1,694401564.0,44742
2011-11-07,0,1048645162.0,82377
2011-11-07,1,120939222.0,18330
2011-11-07,2,6718824.0,398
2011-11-07,3,49230717.0,4311
2011-11-07,4,97807128.0,5039
2011-11-07,5,35901082.0,1986
2011-11-07,6,51728188.0,5326
2011-11-07,7,20553524.0,1047
2011-11-07,8,28553737.0,2322
2011-11-07,9,69463563.0,2290
2011-11-07,10,43890324.0,6783
2011-11-07,11,24738386.0,5325
2011-11-07,12,17869083.0,1349
2011-11-07,13,37365637.0,1414
2011-11-14,-1,694401564.0,46941
2011-11-14,0,1048645162.0,81063
2011-11-14,1,120939222.0,22464
2011-11-14,2,6718824.0,409
2011-11-14,3,49230717.0,7618
2011-11-14,4,97807128.0,4401
2011-11-14,5,35901082.0,2014
2011-11-14,6,51728188.0,3545
2011-11-14,7,20553524.0,1431
2011-11-14,8,28553737.0,1649
2011-11-14,9,69463563.0,2527
2011-11-14,10,43890324.0,6395
2011-11-14,11,24738386.0,3887
2011-11-14,12,17869083.0,1133
2011-11-14,13,37365637.0,1274
2011-11-21,-1,694401564.0,37302
2011-11-21,0,1048645162.0,79348
2011-11-21,1,120939222.0,19007
2011-11-21,2,6718824.0,168
2011-11-21,3,49230717.0,4714
2011-11-21,4,97807128.0,6009
2011-11-21,5,35901082.0,1760
2011-11-21,6,51728188.0,2340
2011-11-21,7,20553524.0,707
2011-11-21,8,28553737.0,1737
2011-11-21,9,69463563.0,2514
2011-11-21,10,43890324.0,6286
2011-11-21,11,24738386.0,3680
2011-11-21,12,17869083.0,1339
2011-11-21,13,37365637.0,2011
2011-11-28,-1,694401564.0,21031
2011-11-28,0,1048645162.0,36576
2011-11-28,1,120939222.0,10886
2011-11-28,2,6718824.0,99
2011-11-28,3,49230717.0,2725
2011-11-28,4,97807128.0,1920
2011-11-28,5,35901082.0,1350
2011-11-28,6,51728188.0,1237
2011-11-28,7,20553524.0,648
2011-11-28,8,28553737.0,986
2011-11-28,9,69463563.0,3786
2011-11-28,10,43890324.0,2865
2011-11-28,11,24738386.0,1861
2011-11-28,12,17869083.0,1694
2011-11-28,13,37365637.0,1147
